book_id,author_id,filename,title,authors,isbn,pages,publisher,language,description,keywords,pub_type,cover_image
e326f4b1e54f666ccacec370fa731e75,0,,Le concept de représentation dans la pensée politique,,9782731403671 9782821853249,,Presses universitaires d'Aix-Marseille,fr,,"collectivités, pensée politique et sociale, représentation",book,
a6473eab606f089ac20120f0a7048821,0,,The Concept of Constitution in the History of Political Thought,"Górnisiewicz, Arkadiusz; Szlachta, Bogdan",9783110581928,166,De Gruyter,English,,"Constitution, Legal Tradition, Political Thought",book,
83a51a895224357fc1f88a01575402bb,0,,The Concept of Heresy in the Middle Ages (11th-13th C.),"Lourdaux, W.; Verhelst, D. (eds)",9789061860433,viii-232,Leuven University Press,English,,,book,
58d6025c860decf4d611e868d19d795c,0,,"Conception, naissance et petite enfance au Maghreb",,9782821830196,,Institut de recherches et d'études sur le monde arabe et musulman - IREMAM,fr,,"Maghreb, fécondité",book,
343f951792827f36d2ec3a98786cb68e,0,,Conciliation et médiation judiciaires,Julie Joly-Hurard,9782731403374 9782821853362,,Presses universitaires d'Aix-Marseille,fr,,"concilition judiciaire, médiation judiciaire, pourparlers judiciaires",book,
88192b47ff6810243f25f88dc83ba306,0,,"Conciliation, réconciliation aux temps médiévaux et modernes","Franck Collard, Monique Cottret (dir.)",9782840161059 9782821850828,,Presses universitaires de Paris Nanterre,fr,,"conciliation, réconciliation, paix",book,
751970e5aa701d49af7c67ba8372ccb3,0,,La concordance des temps,Gilles Luquet (dir.),9782878544688 9782878549690,,Presses Sorbonne Nouvelle,fr,,"linguistique historique, grammaire",book,
2b5e5553ffde24a7459d3cd49a2cc633,0,,"Concorso a cattedre 2016 classe A19: Storia e filosofia, le domande dell'orale",Martino Sacchi,9788867054411,325,Ledizioni - LediPublishing,Italian,,,book,
6d1d13520ec16c6131bf0d950cdb4f59,0,,Concrete Tectonics II ﻿,Kirsten Orr (Editor); Natalie Nicholas (Editor); Jessica Tringali (Editor),9780987236982,194,UTS ePRESS,English,,Architecture;  Analogue;  Digital;  Contrete;  Experimentation;  Research,book,
e8aac7f6df6a3a38eca2a02e41307337,0,,Concurrence des passés,"Maryline Crivello, Patrick Garcia, Nicolas Offenstadt (dir.)",9782853996310 9782821882829,,Presses universitaires de Provence,fr,,"historiographie, politique, mémoire collective, France, gouvernement",book,
fd2ce334fbf9267b6f9d58b0c311d76c,0,,Concurrence et protection sociale en Europe,"Patrick Hassenteufel, Sylvie Hennion-Moreau (dir.)",9782868479327 9782753538665,,Presses universitaires de Rennes,fr,,"régimes de retraite, concurrence, droit européen, sécurité sociale, union économique",book,
ad6763790b1a2379e5845c167f6f5dda,0,,Les conditions d’admission et de séjour des travailleurs hautement qualifiés dans l’UE ,Samah Posse-Ousmane,9783941159129; 9783941159136 ,288,Carl Grossmann Verlag,French,,"Droit européen;  carte bleue européenne;  migration légale;  intégration;  droit des étrangers, ",book,
98837913711208fea21e1fe0342071ce,0,,Les conditions d’admission et de séjour des travailleurs hautement qualifiés dans l’UE - Une analyse de la Directive Carte Bleue,"Posse-Ousmane ,Samah",9783941159129,352,Carl Grossmann Verlag,French,,Law; European Law; EU law; European policy on legal migration; Legal migration; integration; Foreigners' rights; Highly skilled workers; Droit; droit européen; droit de l'UE; politique européenne en matière de migration légale; migration légale; intégration; droit des étrangers; travailleurs hautement qualifiés,book,
